TimeStamp,,,,TimeStamp,,Specification,Value,Unit
14:19:28.772 -> Flow rate: 66.67 L/m,,,,19:28.8,->,Flow rate:,66.67,L/m
14:19:28.866 -> Flow rate: 75.00 L/m,,,,19:28.9,->,Flow rate:,75,L/m
14:19:28.992 -> Flow rate: 66.67 L/m,,,,19:29.0,->,Flow rate:,66.67,L/m
14:19:29.086 -> Flow rate: 66.67 L/m,,,,19:29.1,->,Flow rate:,66.67,L/m
14:19:29.182 -> Flow rate: 66.67 L/m,,,,19:29.2,->,Flow rate:,66.67,L/m
14:19:29.277 -> Flow rate: 58.33 L/m,,,,19:29.3,->,Flow rate:,58.33,L/m
14:19:29.371 -> Flow rate: 66.67 L/m,,,,19:29.4,->,Flow rate:,66.67,L/m
14:19:29.482 -> Flow rate: 58.33 L/m,,,,19:29.5,->,Flow rate:,58.33,L/m
14:19:29.577 -> Flow rate: 50.00 L/m,,,,19:29.6,->,Flow rate:,50,L/m
14:19:29.671 -> Flow rate: 58.33 L/m,,,,19:29.7,->,Flow rate:,58.33,L/m
14:19:29.768 -> Flow rate: 50.00 L/m,,,,19:29.8,->,Flow rate:,50,L/m
14:19:29.877 -> Flow rate: 50.00 L/m,,,,19:29.9,->,Flow rate:,50,L/m
14:19:29.972 -> Flow rate: 50.00 L/m,,,,19:30.0,->,Flow rate:,50,L/m
14:19:30.052 -> Flow rate: 50.00 L/m,,,,19:30.1,->,Flow rate:,50,L/m
14:19:30.180 -> Flow rate: 50.00 L/m,,,,19:30.2,->,Flow rate:,50,L/m
14:19:30.274 -> Flow rate: 41.67 L/m,,,,19:30.3,->,Flow rate:,41.67,L/m
14:19:30.385 -> Flow rate: 50.00 L/m,,,,19:30.4,->,Flow rate:,50,L/m
14:19:30.480 -> Flow rate: 50.00 L/m,,,,19:30.5,->,Flow rate:,50,L/m
14:19:30.574 -> Flow rate: 50.00 L/m,,,,19:30.6,->,Flow rate:,50,L/m
14:19:30.669 -> Flow rate: 50.00 L/m,,,,19:30.7,->,Flow rate:,50,L/m
14:19:30.764 -> Flow rate: 58.33 L/m,,,,19:30.8,->,Flow rate:,58.33,L/m
14:19:30.858 -> Flow rate: 58.33 L/m,,,,19:30.9,->,Flow rate:,58.33,L/m
14:19:30.954 -> Flow rate: 50.00 L/m,,,,19:31.0,->,Flow rate:,50,L/m
14:19:31.096 -> Flow rate: 66.67 L/m,,,,19:31.1,->,Flow rate:,66.67,L/m
14:19:31.191 -> Flow rate: 58.33 L/m,,,,19:31.2,->,Flow rate:,58.33,L/m
14:19:31.285 -> Flow rate: 66.67 L/m,,,,19:31.3,->,Flow rate:,66.67,L/m
14:19:31.380 -> Flow rate: 58.33 L/m,,,,19:31.4,->,Flow rate:,58.33,L/m
14:19:31.475 -> Flow rate: 66.67 L/m,,,,19:31.5,->,Flow rate:,66.67,L/m
14:19:31.569 -> Flow rate: 66.67 L/m,,,,19:31.6,->,Flow rate:,66.67,L/m
14:19:31.664 -> Flow rate: 66.67 L/m,,,,19:31.7,->,Flow rate:,66.67,L/m
14:19:31.790 -> Flow rate: 66.67 L/m,,,,19:31.8,->,Flow rate:,66.67,L/m
14:19:31.885 -> Flow rate: 66.67 L/m,,,,19:31.9,->,Flow rate:,66.67,L/m
14:19:31.963 -> Flow rate: 66.67 L/m,,,,19:32.0,->,Flow rate:,66.67,L/m
14:19:32.059 -> Flow rate: 66.67 L/m,,,,19:32.1,->,Flow rate:,66.67,L/m
14:19:32.153 -> Flow rate: 66.67 L/m,,,,19:32.2,->,Flow rate:,66.67,L/m
14:19:32.254 -> Flow rate: 75.00 L/m,,,,19:32.3,->,Flow rate:,75,L/m
14:19:32.391 -> Flow rate: 66.67 L/m,,,,19:32.4,->,Flow rate:,66.67,L/m
14:19:32.453 -> Flow rate: 66.67 L/m,,,,19:32.5,->,Flow rate:,66.67,L/m
14:19:32.596 -> Flow rate: 66.67 L/m,,,,19:32.6,->,Flow rate:,66.67,L/m
14:19:32.644 -> Flow rate: 66.67 L/m,,,,19:32.6,->,Flow rate:,66.67,L/m
14:19:32.785 -> Flow rate: 66.67 L/m,,,,19:32.8,->,Flow rate:,66.67,L/m
14:19:32.853 -> Flow rate: 58.33 L/m,,,,19:32.9,->,Flow rate:,58.33,L/m
14:19:33.001 -> Flow rate: 66.67 L/m,,,,19:33.0,->,Flow rate:,66.67,L/m
14:19:33.071 -> Flow rate: 58.33 L/m,,,,19:33.1,->,Flow rate:,58.33,L/m
14:19:33.165 -> Flow rate: 58.33 L/m,,,,19:33.2,->,Flow rate:,58.33,L/m
14:19:33.261 -> Flow rate: 50.00 L/m,,,,19:33.3,->,Flow rate:,50,L/m
14:19:33.355 -> Flow rate: 58.33 L/m,,,,19:33.4,->,Flow rate:,58.33,L/m
14:19:33.450 -> Flow rate: 58.33 L/m,,,,19:33.5,->,Flow rate:,58.33,L/m
14:19:33.594 -> Flow rate: 58.33 L/m,,,,19:33.6,->,Flow rate:,58.33,L/m
14:19:33.686 -> Flow rate: 58.33 L/m,,,,19:33.7,->,Flow rate:,58.33,L/m
14:19:33.780 -> Flow rate: 50.00 L/m,,,,19:33.8,->,Flow rate:,50,L/m
14:19:33.875 -> Flow rate: 58.33 L/m,,,,19:33.9,->,Flow rate:,58.33,L/m
14:19:33.969 -> Flow rate: 58.33 L/m,,,,19:34.0,->,Flow rate:,58.33,L/m
14:19:34.065 -> Flow rate: 58.33 L/m,,,,19:34.1,->,Flow rate:,58.33,L/m
14:19:34.191 -> Flow rate: 50.00 L/m,,,,19:34.2,->,Flow rate:,50,L/m
14:19:34.286 -> Flow rate: 58.33 L/m,,,,19:34.3,->,Flow rate:,58.33,L/m
14:19:34.381 -> Flow rate: 58.33 L/m,,,,19:34.4,->,Flow rate:,58.33,L/m
14:19:34.475 -> Flow rate: 58.33 L/m,,,,19:34.5,->,Flow rate:,58.33,L/m
14:19:34.570 -> Flow rate: 50.00 L/m,,,,19:34.6,->,Flow rate:,50,L/m
14:19:34.664 -> Flow rate: 58.33 L/m,,,,19:34.7,->,Flow rate:,58.33,L/m
14:19:34.792 -> Flow rate: 50.00 L/m,,,,19:34.8,->,Flow rate:,50,L/m
14:19:34.855 -> Flow rate: 58.33 L/m,,,,19:34.9,->,Flow rate:,58.33,L/m
14:19:34.949 -> Flow rate: 66.67 L/m,,,,19:34.9,->,Flow rate:,66.67,L/m
14:19:35.091 -> Flow rate: 58.33 L/m,,,,19:35.1,->,Flow rate:,58.33,L/m
14:19:35.185 -> Flow rate: 66.67 L/m,,,,19:35.2,->,Flow rate:,66.67,L/m
14:19:35.281 -> Flow rate: 66.67 L/m,,,,19:35.3,->,Flow rate:,66.67,L/m
14:19:35.377 -> Flow rate: 66.67 L/m,,,,19:35.4,->,Flow rate:,66.67,L/m
14:19:35.472 -> Flow rate: 58.33 L/m,,,,19:35.5,->,Flow rate:,58.33,L/m
14:19:35.583 -> Flow rate: 66.67 L/m,,,,19:35.6,->,Flow rate:,66.67,L/m
14:19:35.677 -> Flow rate: 66.67 L/m,,,,19:35.7,->,Flow rate:,66.67,L/m
14:19:35.773 -> Flow rate: 66.67 L/m,,,,19:35.8,->,Flow rate:,66.67,L/m
14:19:35.882 -> Flow rate: 66.67 L/m,,,,19:35.9,->,Flow rate:,66.67,L/m
14:19:35.978 -> Flow rate: 66.67 L/m,,,,19:36.0,->,Flow rate:,66.67,L/m
14:19:36.072 -> Flow rate: 66.67 L/m,,,,19:36.1,->,Flow rate:,66.67,L/m
14:19:36.166 -> Flow rate: 66.67 L/m,,,,19:36.2,->,Flow rate:,66.67,L/m
14:19:36.259 -> Flow rate: 66.67 L/m,,,,19:36.3,->,Flow rate:,66.67,L/m
14:19:36.353 -> Flow rate: 58.33 L/m,,,,19:36.4,->,Flow rate:,58.33,L/m
14:19:36.452 -> Flow rate: 66.67 L/m,,,,19:36.5,->,Flow rate:,66.67,L/m
14:19:36.590 -> Flow rate: 66.67 L/m,,,,19:36.6,->,Flow rate:,66.67,L/m
14:19:36.684 -> Flow rate: 66.67 L/m,,,,19:36.7,->,Flow rate:,66.67,L/m
14:19:36.778 -> Flow rate: 66.67 L/m,,,,19:36.8,->,Flow rate:,66.67,L/m
14:19:36.887 -> Flow rate: 66.67 L/m,,,,19:36.9,->,Flow rate:,66.67,L/m
14:19:36.965 -> Flow rate: 66.67 L/m,,,,19:37.0,->,Flow rate:,66.67,L/m
14:19:37.059 -> Flow rate: 58.33 L/m,,,,19:37.1,->,Flow rate:,58.33,L/m
14:19:37.153 -> Flow rate: 58.33 L/m,,,,19:37.2,->,Flow rate:,58.33,L/m
14:19:37.293 -> Flow rate: 58.33 L/m,,,,19:37.3,->,Flow rate:,58.33,L/m
14:19:37.387 -> Flow rate: 58.33 L/m,,,,19:37.4,->,Flow rate:,58.33,L/m
14:19:37.481 -> Flow rate: 50.00 L/m,,,,19:37.5,->,Flow rate:,50,L/m
14:19:37.575 -> Flow rate: 58.33 L/m,,,,19:37.6,->,Flow rate:,58.33,L/m
14:19:37.671 -> Flow rate: 50.00 L/m,,,,19:37.7,->,Flow rate:,50,L/m
14:19:37.765 -> Flow rate: 50.00 L/m,,,,19:37.8,->,Flow rate:,50,L/m
14:19:37.858 -> Flow rate: 58.33 L/m,,,,19:37.9,->,Flow rate:,58.33,L/m
14:19:37.952 -> Flow rate: 50.00 L/m,,,,19:38.0,->,Flow rate:,50,L/m
14:19:38.093 -> Flow rate: 50.00 L/m,,,,19:38.1,->,Flow rate:,50,L/m
14:19:38.187 -> Flow rate: 58.33 L/m,,,,19:38.2,->,Flow rate:,58.33,L/m
14:19:38.280 -> Flow rate: 58.33 L/m,,,,19:38.3,->,Flow rate:,58.33,L/m
14:19:38.375 -> Flow rate: 66.67 L/m,,,,19:38.4,->,Flow rate:,66.67,L/m
14:19:38.469 -> Flow rate: 66.67 L/m,,,,19:38.5,->,Flow rate:,66.67,L/m
14:19:38.564 -> Flow rate: 66.67 L/m,,,,19:38.6,->,Flow rate:,66.67,L/m
14:19:38.658 -> Flow rate: 58.33 L/m,,,,19:38.7,->,Flow rate:,58.33,L/m
14:19:38.751 -> Flow rate: 66.67 L/m,,,,19:38.8,->,Flow rate:,66.67,L/m
14:19:38.846 -> Flow rate: 66.67 L/m,,,,19:38.8,->,Flow rate:,66.67,L/m
14:19:38.986 -> Flow rate: 66.67 L/m,,,,19:39.0,->,Flow rate:,66.67,L/m
14:19:39.080 -> Flow rate: 66.67 L/m,,,,19:39.1,->,Flow rate:,66.67,L/m
14:19:39.174 -> Flow rate: 66.67 L/m,,,,19:39.2,->,Flow rate:,66.67,L/m
14:19:39.267 -> Flow rate: 66.67 L/m,,,,19:39.3,->,Flow rate:,66.67,L/m
14:19:39.362 -> Flow rate: 66.67 L/m,,,,19:39.4,->,Flow rate:,66.67,L/m
14:19:39.456 -> Flow rate: 66.67 L/m,,,,19:39.5,->,Flow rate:,66.67,L/m
14:19:39.581 -> Flow rate: 66.67 L/m,,,,19:39.6,->,Flow rate:,66.67,L/m
14:19:39.675 -> Flow rate: 66.67 L/m,,,,19:39.7,->,Flow rate:,66.67,L/m
14:19:39.770 -> Flow rate: 75.00 L/m,,,,19:39.8,->,Flow rate:,75,L/m
14:19:39.864 -> Flow rate: 66.67 L/m,,,,19:39.9,->,Flow rate:,66.67,L/m
14:19:39.957 -> Flow rate: 66.67 L/m,,,,19:40.0,->,Flow rate:,66.67,L/m
14:19:40.053 -> Flow rate: 66.67 L/m,,,,19:40.1,->,Flow rate:,66.67,L/m
14:19:40.195 -> Flow rate: 58.33 L/m,,,,19:40.2,->,Flow rate:,58.33,L/m
14:19:40.274 -> Flow rate: 58.33 L/m,,,,19:40.3,->,Flow rate:,58.33,L/m
14:19:40.368 -> Flow rate: 66.67 L/m,,,,19:40.4,->,Flow rate:,66.67,L/m
14:19:40.463 -> Flow rate: 58.33 L/m,,,,19:40.5,->,Flow rate:,58.33,L/m
14:19:40.557 -> Flow rate: 66.67 L/m,,,,19:40.6,->,Flow rate:,66.67,L/m
14:19:40.653 -> Flow rate: 58.33 L/m,,,,19:40.7,->,Flow rate:,58.33,L/m
14:19:40.795 -> Flow rate: 58.33 L/m,,,,19:40.8,->,Flow rate:,58.33,L/m
14:19:40.890 -> Flow rate: 58.33 L/m,,,,19:40.9,->,Flow rate:,58.33,L/m
14:19:40.985 -> Flow rate: 58.33 L/m,,,,19:41.0,->,Flow rate:,58.33,L/m
14:19:41.080 -> Flow rate: 58.33 L/m,,,,19:41.1,->,Flow rate:,58.33,L/m
14:19:41.175 -> Flow rate: 50.00 L/m,,,,19:41.2,->,Flow rate:,50,L/m
14:19:41.269 -> Flow rate: 58.33 L/m,,,,19:41.3,->,Flow rate:,58.33,L/m
14:19:41.365 -> Flow rate: 58.33 L/m,,,,19:41.4,->,Flow rate:,58.33,L/m
14:19:41.475 -> Flow rate: 58.33 L/m,,,,19:41.5,->,Flow rate:,58.33,L/m
14:19:41.569 -> Flow rate: 58.33 L/m,,,,19:41.6,->,Flow rate:,58.33,L/m
14:19:41.663 -> Flow rate: 58.33 L/m,,,,19:41.7,->,Flow rate:,58.33,L/m
14:19:41.758 -> Flow rate: 66.67 L/m,,,,19:41.8,->,Flow rate:,66.67,L/m
14:19:41.857 -> Flow rate: 58.33 L/m,,,,19:41.9,->,Flow rate:,58.33,L/m
14:19:41.956 -> Flow rate: 66.67 L/m,,,,19:42.0,->,Flow rate:,66.67,L/m
14:19:42.089 -> Flow rate: 66.67 L/m,,,,19:42.1,->,Flow rate:,66.67,L/m
14:19:42.186 -> Flow rate: 66.67 L/m,,,,19:42.2,->,Flow rate:,66.67,L/m
14:19:42.282 -> Flow rate: 66.67 L/m,,,,19:42.3,->,Flow rate:,66.67,L/m
14:19:42.377 -> Flow rate: 66.67 L/m,,,,19:42.4,->,Flow rate:,66.67,L/m
14:19:42.471 -> Flow rate: 66.67 L/m,,,,19:42.5,->,Flow rate:,66.67,L/m
14:19:42.566 -> Flow rate: 66.67 L/m,,,,19:42.6,->,Flow rate:,66.67,L/m
14:19:42.661 -> Flow rate: 66.67 L/m,,,,19:42.7,->,Flow rate:,66.67,L/m
14:19:42.755 -> Flow rate: 75.00 L/m,,,,19:42.8,->,Flow rate:,75,L/m
14:19:42.849 -> Flow rate: 66.67 L/m,,,,19:42.8,->,Flow rate:,66.67,L/m
14:19:42.992 -> Flow rate: 66.67 L/m,,,,19:43.0,->,Flow rate:,66.67,L/m
14:19:43.087 -> Flow rate: 66.67 L/m,,,,19:43.1,->,Flow rate:,66.67,L/m
14:19:43.183 -> Flow rate: 66.67 L/m,,,,19:43.2,->,Flow rate:,66.67,L/m
14:19:43.277 -> Flow rate: 66.67 L/m,,,,19:43.3,->,Flow rate:,66.67,L/m
14:19:43.373 -> Flow rate: 66.67 L/m,,,,19:43.4,->,Flow rate:,66.67,L/m
14:19:43.453 -> Flow rate: 66.67 L/m,,,,19:43.5,->,Flow rate:,66.67,L/m
14:19:43.595 -> Flow rate: 66.67 L/m,,,,19:43.6,->,Flow rate:,66.67,L/m
14:19:43.690 -> Flow rate: 66.67 L/m,,,,19:43.7,->,Flow rate:,66.67,L/m
14:19:43.784 -> Flow rate: 66.67 L/m,,,,19:43.8,->,Flow rate:,66.67,L/m
14:19:43.879 -> Flow rate: 66.67 L/m,,,,19:43.9,->,Flow rate:,66.67,L/m
14:19:43.974 -> Flow rate: 58.33 L/m,,,,19:44.0,->,Flow rate:,58.33,L/m
14:19:44.069 -> Flow rate: 66.67 L/m,,,,19:44.1,->,Flow rate:,66.67,L/m
14:19:44.163 -> Flow rate: 58.33 L/m,,,,19:44.2,->,Flow rate:,58.33,L/m
14:19:44.258 -> Flow rate: 58.33 L/m,,,,19:44.3,->,Flow rate:,58.33,L/m
14:19:44.352 -> Flow rate: 58.33 L/m,,,,19:44.4,->,Flow rate:,58.33,L/m
14:19:44.495 -> Flow rate: 58.33 L/m,,,,19:44.5,->,Flow rate:,58.33,L/m
14:19:44.589 -> Flow rate: 58.33 L/m,,,,19:44.6,->,Flow rate:,58.33,L/m
14:19:44.684 -> Flow rate: 58.33 L/m,,,,19:44.7,->,Flow rate:,58.33,L/m
14:19:44.780 -> Flow rate: 66.67 L/m,,,,19:44.8,->,Flow rate:,66.67,L/m
14:19:44.872 -> Flow rate: 66.67 L/m,,,,19:44.9,->,Flow rate:,66.67,L/m
14:19:44.967 -> Flow rate: 66.67 L/m,,,,19:45.0,->,Flow rate:,66.67,L/m
14:19:45.057 -> Flow rate: 66.67 L/m,,,,19:45.1,->,Flow rate:,66.67,L/m
14:19:45.159 -> Flow rate: 58.33 L/m,,,,19:45.2,->,Flow rate:,58.33,L/m
14:19:45.286 -> Flow rate: 66.67 L/m,,,,19:45.3,->,Flow rate:,66.67,L/m
14:19:45.382 -> Flow rate: 58.33 L/m,,,,19:45.4,->,Flow rate:,58.33,L/m
14:19:45.476 -> Flow rate: 66.67 L/m,,,,19:45.5,->,Flow rate:,66.67,L/m
14:19:45.586 -> Flow rate: 58.33 L/m,,,,19:45.6,->,Flow rate:,58.33,L/m
14:19:45.682 -> Flow rate: 66.67 L/m,,,,19:45.7,->,Flow rate:,66.67,L/m
14:19:45.777 -> Flow rate: 66.67 L/m,,,,19:45.8,->,Flow rate:,66.67,L/m
14:19:45.872 -> Flow rate: 58.33 L/m,,,,19:45.9,->,Flow rate:,58.33,L/m
14:19:45.966 -> Flow rate: 66.67 L/m,,,,19:46.0,->,Flow rate:,66.67,L/m
14:19:46.061 -> Flow rate: 66.67 L/m,,,,19:46.1,->,Flow rate:,66.67,L/m
14:19:46.154 -> Flow rate: 66.67 L/m,,,,19:46.2,->,Flow rate:,66.67,L/m
14:19:46.249 -> Flow rate: 75.00 L/m,,,,19:46.2,->,Flow rate:,75,L/m
14:19:46.391 -> Flow rate: 66.67 L/m,,,,19:46.4,->,Flow rate:,66.67,L/m
14:19:46.486 -> Flow rate: 66.67 L/m,,,,19:46.5,->,Flow rate:,66.67,L/m
14:19:46.566 -> Flow rate: 66.67 L/m,,,,19:46.6,->,Flow rate:,66.67,L/m
14:19:46.661 -> Flow rate: 58.33 L/m,,,,19:46.7,->,Flow rate:,58.33,L/m
14:19:46.756 -> Flow rate: 66.67 L/m,,,,19:46.8,->,Flow rate:,66.67,L/m
14:19:46.867 -> Flow rate: 66.67 L/m,,,,19:46.9,->,Flow rate:,66.67,L/m
14:19:46.961 -> Flow rate: 58.33 L/m,,,,19:47.0,->,Flow rate:,58.33,L/m
14:19:47.056 -> Flow rate: 66.67 L/m,,,,19:47.1,->,Flow rate:,66.67,L/m
14:19:47.151 -> Flow rate: 66.67 L/m,,,,19:47.2,->,Flow rate:,66.67,L/m
14:19:47.247 -> Flow rate: 58.33 L/m,,,,19:47.2,->,Flow rate:,58.33,L/m
14:19:47.357 -> Flow rate: 66.67 L/m,,,,19:47.4,->,Flow rate:,66.67,L/m
14:19:47.453 -> Flow rate: 66.67 L/m,,,,19:47.5,->,Flow rate:,66.67,L/m
14:19:47.548 -> Flow rate: 66.67 L/m,,,,19:47.5,->,Flow rate:,66.67,L/m
14:19:47.690 -> Flow rate: 66.67 L/m,,,,19:47.7,->,Flow rate:,66.67,L/m
14:19:47.784 -> Flow rate: 58.33 L/m,,,,19:47.8,->,Flow rate:,58.33,L/m
14:19:47.879 -> Flow rate: 66.67 L/m,,,,19:47.9,->,Flow rate:,66.67,L/m
14:19:47.973 -> Flow rate: 66.67 L/m,,,,19:48.0,->,Flow rate:,66.67,L/m
14:19:48.068 -> Flow rate: 66.67 L/m,,,,19:48.1,->,Flow rate:,66.67,L/m
14:19:48.163 -> Flow rate: 66.67 L/m,,,,19:48.2,->,Flow rate:,66.67,L/m
14:19:48.262 -> Flow rate: 66.67 L/m,,,,19:48.3,->,Flow rate:,66.67,L/m
14:19:48.356 -> Flow rate: 66.67 L/m,,,,19:48.4,->,Flow rate:,66.67,L/m
14:19:48.448 -> Flow rate: 66.67 L/m,,,,19:48.4,->,Flow rate:,66.67,L/m
14:19:48.542 -> Flow rate: 66.67 L/m,,,,19:48.5,->,Flow rate:,66.67,L/m
14:19:48.654 -> Flow rate: 58.33 L/m,,,,19:48.7,->,Flow rate:,58.33,L/m
14:19:48.796 -> Flow rate: 66.67 L/m,,,,19:48.8,->,Flow rate:,66.67,L/m
14:19:48.906 -> Flow rate: 58.33 L/m,,,,19:48.9,->,Flow rate:,58.33,L/m
14:19:48.953 -> Flow rate: 58.33 L/m,,,,19:49.0,->,Flow rate:,58.33,L/m
14:19:49.052 -> Flow rate: 58.33 L/m,,,,19:49.1,->,Flow rate:,58.33,L/m
14:19:49.159 -> Flow rate: 58.33 L/m,,,,19:49.2,->,Flow rate:,58.33,L/m
14:19:49.253 -> Flow rate: 66.67 L/m,,,,19:49.3,->,Flow rate:,66.67,L/m
14:19:49.401 -> Flow rate: 58.33 L/m,,,,19:49.4,->,Flow rate:,58.33,L/m
14:19:49.492 -> Flow rate: 58.33 L/m,,,,19:49.5,->,Flow rate:,58.33,L/m
14:19:49.587 -> Flow rate: 66.67 L/m,,,,19:49.6,->,Flow rate:,66.67,L/m
14:19:49.683 -> Flow rate: 66.67 L/m,,,,19:49.7,->,Flow rate:,66.67,L/m
14:19:49.777 -> Flow rate: 66.67 L/m,,,,19:49.8,->,Flow rate:,66.67,L/m
14:19:49.871 -> Flow rate: 58.33 L/m,,,,19:49.9,->,Flow rate:,58.33,L/m
14:19:49.965 -> Flow rate: 75.00 L/m,,,,19:50.0,->,Flow rate:,75,L/m
14:19:50.060 -> Flow rate: 66.67 L/m,,,,19:50.1,->,Flow rate:,66.67,L/m
14:19:50.150 -> Flow rate: 66.67 L/m,,,,19:50.1,->,Flow rate:,66.67,L/m
14:19:50.283 -> Flow rate: 58.33 L/m,,,,19:50.3,->,Flow rate:,58.33,L/m
14:19:50.378 -> Flow rate: 66.67 L/m,,,,19:50.4,->,Flow rate:,66.67,L/m
14:19:50.474 -> Flow rate: 58.33 L/m,,,,19:50.5,->,Flow rate:,58.33,L/m
14:19:50.604 -> Flow rate: 66.67 L/m,,,,19:50.6,->,Flow rate:,66.67,L/m
14:19:50.699 -> Flow rate: 58.33 L/m,,,,19:50.7,->,Flow rate:,58.33,L/m
14:19:50.790 -> Flow rate: 66.67 L/m,,,,19:50.8,->,Flow rate:,66.67,L/m
14:19:50.885 -> Flow rate: 66.67 L/m,,,,19:50.9,->,Flow rate:,66.67,L/m
14:19:50.980 -> Flow rate: 66.67 L/m,,,,19:51.0,->,Flow rate:,66.67,L/m
14:19:51.060 -> Flow rate: 66.67 L/m,,,,19:51.1,->,Flow rate:,66.67,L/m
14:19:51.156 -> Flow rate: 66.67 L/m,,,,19:51.2,->,Flow rate:,66.67,L/m
14:19:51.283 -> Flow rate: 66.67 L/m,,,,19:51.3,->,Flow rate:,66.67,L/m
14:19:51.377 -> Flow rate: 66.67 L/m,,,,19:51.4,->,Flow rate:,66.67,L/m
14:19:51.473 -> Flow rate: 66.67 L/m,,,,19:51.5,->,Flow rate:,66.67,L/m
14:19:51.583 -> Flow rate: 66.67 L/m,,,,19:51.6,->,Flow rate:,66.67,L/m
14:19:51.678 -> Flow rate: 66.67 L/m,,,,19:51.7,->,Flow rate:,66.67,L/m
14:19:51.772 -> Flow rate: 66.67 L/m,,,,19:51.8,->,Flow rate:,66.67,L/m
14:19:51.867 -> Flow rate: 66.67 L/m,,,,19:51.9,->,Flow rate:,66.67,L/m
14:19:51.962 -> Flow rate: 58.33 L/m,,,,19:52.0,->,Flow rate:,58.33,L/m
14:19:52.091 -> Flow rate: 66.67 L/m,,,,19:52.1,->,Flow rate:,66.67,L/m
14:19:52.156 -> Flow rate: 66.67 L/m,,,,19:52.2,->,Flow rate:,66.67,L/m
14:19:52.252 -> Flow rate: 66.67 L/m,,,,19:52.3,->,Flow rate:,66.67,L/m
14:19:52.394 -> Flow rate: 66.67 L/m,,,,19:52.4,->,Flow rate:,66.67,L/m
14:19:52.490 -> Flow rate: 66.67 L/m,,,,19:52.5,->,Flow rate:,66.67,L/m
14:19:52.584 -> Flow rate: 66.67 L/m,,,,19:52.6,->,Flow rate:,66.67,L/m
14:19:52.678 -> Flow rate: 66.67 L/m,,,,19:52.7,->,Flow rate:,66.67,L/m
14:19:52.771 -> Flow rate: 66.67 L/m,,,,19:52.8,->,Flow rate:,66.67,L/m
14:19:52.867 -> Flow rate: 66.67 L/m,,,,19:52.9,->,Flow rate:,66.67,L/m
14:19:52.961 -> Flow rate: 66.67 L/m,,,,19:53.0,->,Flow rate:,66.67,L/m
