TimeStamp,,,,TimeStamp,,Specification,Value,Unit
16:11:04.176 -> Flow rate: 66.67 L/m,,,,11:04.2,->,Flow rate:,66.67,L/m
16:11:04.272 -> Flow rate: 66.67 L/m,,,,11:04.3,->,Flow rate:,66.67,L/m
16:11:04.396 -> Flow rate: 66.67 L/m,,,,11:04.4,->,Flow rate:,66.67,L/m
16:11:04.491 -> Flow rate: 66.67 L/m,,,,11:04.5,->,Flow rate:,66.67,L/m
16:11:04.585 -> Flow rate: 66.67 L/m,,,,11:04.6,->,Flow rate:,66.67,L/m
16:11:04.680 -> Flow rate: 66.67 L/m,,,,11:04.7,->,Flow rate:,66.67,L/m
16:11:04.775 -> Flow rate: 66.67 L/m,,,,11:04.8,->,Flow rate:,66.67,L/m
16:11:04.870 -> Flow rate: 58.33 L/m,,,,11:04.9,->,Flow rate:,58.33,L/m
16:11:04.965 -> Flow rate: 66.67 L/m,,,,11:05.0,->,Flow rate:,66.67,L/m
16:11:05.108 -> Flow rate: 66.67 L/m,,,,11:05.1,->,Flow rate:,66.67,L/m
16:11:05.203 -> Flow rate: 58.33 L/m,,,,11:05.2,->,Flow rate:,58.33,L/m
16:11:05.298 -> Flow rate: 66.67 L/m,,,,11:05.3,->,Flow rate:,66.67,L/m
16:11:05.393 -> Flow rate: 58.33 L/m,,,,11:05.4,->,Flow rate:,58.33,L/m
16:11:05.488 -> Flow rate: 58.33 L/m,,,,11:05.5,->,Flow rate:,58.33,L/m
16:11:05.568 -> Flow rate: 66.67 L/m,,,,11:05.6,->,Flow rate:,66.67,L/m
16:11:05.694 -> Flow rate: 58.33 L/m,,,,11:05.7,->,Flow rate:,58.33,L/m
16:11:05.788 -> Flow rate: 66.67 L/m,,,,11:05.8,->,Flow rate:,66.67,L/m
16:11:05.882 -> Flow rate: 66.67 L/m,,,,11:05.9,->,Flow rate:,66.67,L/m
16:11:05.977 -> Flow rate: 66.67 L/m,,,,11:06.0,->,Flow rate:,66.67,L/m
16:11:06.073 -> Flow rate: 58.33 L/m,,,,11:06.1,->,Flow rate:,58.33,L/m
16:11:06.167 -> Flow rate: 66.67 L/m,,,,11:06.2,->,Flow rate:,66.67,L/m
16:11:06.310 -> Flow rate: 58.33 L/m,,,,11:06.3,->,Flow rate:,58.33,L/m
16:11:06.404 -> Flow rate: 66.67 L/m,,,,11:06.4,->,Flow rate:,66.67,L/m
16:11:06.499 -> Flow rate: 66.67 L/m,,,,11:06.5,->,Flow rate:,66.67,L/m
16:11:06.594 -> Flow rate: 66.67 L/m,,,,11:06.6,->,Flow rate:,66.67,L/m
16:11:06.689 -> Flow rate: 66.67 L/m,,,,11:06.7,->,Flow rate:,66.67,L/m
16:11:06.784 -> Flow rate: 66.67 L/m,,,,11:06.8,->,Flow rate:,66.67,L/m
16:11:06.879 -> Flow rate: 66.67 L/m,,,,11:06.9,->,Flow rate:,66.67,L/m
16:11:06.973 -> Flow rate: 58.33 L/m,,,,11:07.0,->,Flow rate:,58.33,L/m
16:11:07.069 -> Flow rate: 66.67 L/m,,,,11:07.1,->,Flow rate:,66.67,L/m
16:11:07.164 -> Flow rate: 66.67 L/m,,,,11:07.2,->,Flow rate:,66.67,L/m
16:11:07.260 -> Flow rate: 66.67 L/m,,,,11:07.3,->,Flow rate:,66.67,L/m
16:11:07.402 -> Flow rate: 66.67 L/m,,,,11:07.4,->,Flow rate:,66.67,L/m
16:11:07.481 -> Flow rate: 66.67 L/m,,,,11:07.5,->,Flow rate:,66.67,L/m
16:11:07.575 -> Flow rate: 66.67 L/m,,,,11:07.6,->,Flow rate:,66.67,L/m
16:11:07.703 -> Flow rate: 58.33 L/m,,,,11:07.7,->,Flow rate:,58.33,L/m
16:11:07.797 -> Flow rate: 66.67 L/m,,,,11:07.8,->,Flow rate:,66.67,L/m
16:11:07.892 -> Flow rate: 58.33 L/m,,,,11:07.9,->,Flow rate:,58.33,L/m
16:11:07.987 -> Flow rate: 66.67 L/m,,,,11:08.0,->,Flow rate:,66.67,L/m
16:11:08.082 -> Flow rate: 66.67 L/m,,,,11:08.1,->,Flow rate:,66.67,L/m
16:11:08.177 -> Flow rate: 58.33 L/m,,,,11:08.2,->,Flow rate:,58.33,L/m
16:11:08.303 -> Flow rate: 66.67 L/m,,,,11:08.3,->,Flow rate:,66.67,L/m
16:11:08.398 -> Flow rate: 58.33 L/m,,,,11:08.4,->,Flow rate:,58.33,L/m
16:11:08.493 -> Flow rate: 66.67 L/m,,,,11:08.5,->,Flow rate:,66.67,L/m
16:11:08.588 -> Flow rate: 58.33 L/m,,,,11:08.6,->,Flow rate:,58.33,L/m
16:11:08.683 -> Flow rate: 66.67 L/m,,,,11:08.7,->,Flow rate:,66.67,L/m
16:11:08.777 -> Flow rate: 58.33 L/m,,,,11:08.8,->,Flow rate:,58.33,L/m
16:11:08.872 -> Flow rate: 66.67 L/m,,,,11:08.9,->,Flow rate:,66.67,L/m
16:11:08.999 -> Flow rate: 66.67 L/m,,,,11:09.0,->,Flow rate:,66.67,L/m
16:11:09.093 -> Flow rate: 66.67 L/m,,,,11:09.1,->,Flow rate:,66.67,L/m
16:11:09.188 -> Flow rate: 66.67 L/m,,,,11:09.2,->,Flow rate:,66.67,L/m
16:11:09.268 -> Flow rate: 66.67 L/m,,,,11:09.3,->,Flow rate:,66.67,L/m
16:11:09.410 -> Flow rate: 58.33 L/m,,,,11:09.4,->,Flow rate:,58.33,L/m
16:11:09.505 -> Flow rate: 58.33 L/m,,,,11:09.5,->,Flow rate:,58.33,L/m
16:11:09.600 -> Flow rate: 66.67 L/m,,,,11:09.6,->,Flow rate:,66.67,L/m
16:11:09.695 -> Flow rate: 66.67 L/m,,,,11:09.7,->,Flow rate:,66.67,L/m
16:11:09.789 -> Flow rate: 66.67 L/m,,,,11:09.8,->,Flow rate:,66.67,L/m
16:11:09.884 -> Flow rate: 58.33 L/m,,,,11:09.9,->,Flow rate:,58.33,L/m
16:11:09.980 -> Flow rate: 66.67 L/m,,,,11:10.0,->,Flow rate:,66.67,L/m
16:11:10.107 -> Flow rate: 58.33 L/m,,,,11:10.1,->,Flow rate:,58.33,L/m
16:11:10.203 -> Flow rate: 50.00 L/m,,,,11:10.2,->,Flow rate:,50,L/m
16:11:10.299 -> Flow rate: 58.33 L/m,,,,11:10.3,->,Flow rate:,58.33,L/m
16:11:10.362 -> Flow rate: 50.00 L/m,,,,11:10.4,->,Flow rate:,50,L/m
16:11:10.489 -> Flow rate: 50.00 L/m,,,,11:10.5,->,Flow rate:,50,L/m
16:11:10.584 -> Flow rate: 58.33 L/m,,,,11:10.6,->,Flow rate:,58.33,L/m
16:11:10.679 -> Flow rate: 66.67 L/m,,,,11:10.7,->,Flow rate:,66.67,L/m
16:11:10.773 -> Flow rate: 58.33 L/m,,,,11:10.8,->,Flow rate:,58.33,L/m
16:11:10.868 -> Flow rate: 66.67 L/m,,,,11:10.9,->,Flow rate:,66.67,L/m
16:11:11.010 -> Flow rate: 58.33 L/m,,,,11:11.0,->,Flow rate:,58.33,L/m
16:11:11.106 -> Flow rate: 66.67 L/m,,,,11:11.1,->,Flow rate:,66.67,L/m
16:11:11.201 -> Flow rate: 66.67 L/m,,,,11:11.2,->,Flow rate:,66.67,L/m
16:11:11.281 -> Flow rate: 58.33 L/m,,,,11:11.3,->,Flow rate:,58.33,L/m
16:11:11.375 -> Flow rate: 66.67 L/m,,,,11:11.4,->,Flow rate:,66.67,L/m
16:11:11.469 -> Flow rate: 58.33 L/m,,,,11:11.5,->,Flow rate:,58.33,L/m
16:11:11.564 -> Flow rate: 50.00 L/m,,,,11:11.6,->,Flow rate:,50,L/m
16:11:11.705 -> Flow rate: 58.33 L/m,,,,11:11.7,->,Flow rate:,58.33,L/m
16:11:11.799 -> Flow rate: 58.33 L/m,,,,11:11.8,->,Flow rate:,58.33,L/m
16:11:11.893 -> Flow rate: 58.33 L/m,,,,11:11.9,->,Flow rate:,58.33,L/m
16:11:11.988 -> Flow rate: 50.00 L/m,,,,11:12.0,->,Flow rate:,50,L/m
16:11:12.083 -> Flow rate: 66.67 L/m,,,,11:12.1,->,Flow rate:,66.67,L/m
16:11:12.178 -> Flow rate: 58.33 L/m,,,,11:12.2,->,Flow rate:,58.33,L/m
16:11:12.273 -> Flow rate: 66.67 L/m,,,,11:12.3,->,Flow rate:,66.67,L/m
16:11:12.400 -> Flow rate: 66.67 L/m,,,,11:12.4,->,Flow rate:,66.67,L/m
16:11:12.495 -> Flow rate: 66.67 L/m,,,,11:12.5,->,Flow rate:,66.67,L/m
16:11:12.591 -> Flow rate: 66.67 L/m,,,,11:12.6,->,Flow rate:,66.67,L/m
16:11:12.686 -> Flow rate: 58.33 L/m,,,,11:12.7,->,Flow rate:,58.33,L/m
16:11:12.781 -> Flow rate: 66.67 L/m,,,,11:12.8,->,Flow rate:,66.67,L/m
16:11:12.876 -> Flow rate: 66.67 L/m,,,,11:12.9,->,Flow rate:,66.67,L/m
16:11:12.971 -> Flow rate: 66.67 L/m,,,,11:13.0,->,Flow rate:,66.67,L/m
16:11:13.114 -> Flow rate: 66.67 L/m,,,,11:13.1,->,Flow rate:,66.67,L/m
16:11:13.210 -> Flow rate: 66.67 L/m,,,,11:13.2,->,Flow rate:,66.67,L/m
16:11:13.305 -> Flow rate: 66.67 L/m,,,,11:13.3,->,Flow rate:,66.67,L/m
16:11:13.399 -> Flow rate: 66.67 L/m,,,,11:13.4,->,Flow rate:,66.67,L/m
16:11:13.493 -> Flow rate: 58.33 L/m,,,,11:13.5,->,Flow rate:,58.33,L/m
16:11:13.588 -> Flow rate: 66.67 L/m,,,,11:13.6,->,Flow rate:,66.67,L/m
16:11:13.683 -> Flow rate: 66.67 L/m,,,,11:13.7,->,Flow rate:,66.67,L/m
16:11:13.778 -> Flow rate: 66.67 L/m,,,,11:13.8,->,Flow rate:,66.67,L/m
16:11:13.872 -> Flow rate: 66.67 L/m,,,,11:13.9,->,Flow rate:,66.67,L/m
16:11:13.967 -> Flow rate: 66.67 L/m,,,,11:14.0,->,Flow rate:,66.67,L/m
16:11:14.108 -> Flow rate: 66.67 L/m,,,,11:14.1,->,Flow rate:,66.67,L/m
16:11:14.187 -> Flow rate: 66.67 L/m,,,,11:14.2,->,Flow rate:,66.67,L/m
16:11:14.282 -> Flow rate: 66.67 L/m,,,,11:14.3,->,Flow rate:,66.67,L/m
16:11:14.361 -> Flow rate: 66.67 L/m,,,,11:14.4,->,Flow rate:,66.67,L/m
16:11:14.503 -> Flow rate: 66.67 L/m,,,,11:14.5,->,Flow rate:,66.67,L/m
16:11:14.598 -> Flow rate: 66.67 L/m,,,,11:14.6,->,Flow rate:,66.67,L/m
16:11:14.692 -> Flow rate: 66.67 L/m,,,,11:14.7,->,Flow rate:,66.67,L/m
16:11:14.787 -> Flow rate: 66.67 L/m,,,,11:14.8,->,Flow rate:,66.67,L/m
16:11:14.882 -> Flow rate: 58.33 L/m,,,,11:14.9,->,Flow rate:,58.33,L/m
16:11:15.009 -> Flow rate: 66.67 L/m,,,,11:15.0,->,Flow rate:,66.67,L/m
16:11:15.104 -> Flow rate: 66.67 L/m,,,,11:15.1,->,Flow rate:,66.67,L/m
16:11:15.198 -> Flow rate: 66.67 L/m,,,,11:15.2,->,Flow rate:,66.67,L/m
16:11:15.293 -> Flow rate: 58.33 L/m,,,,11:15.3,->,Flow rate:,58.33,L/m
16:11:15.371 -> Flow rate: 66.67 L/m,,,,11:15.4,->,Flow rate:,66.67,L/m
16:11:15.467 -> Flow rate: 66.67 L/m,,,,11:15.5,->,Flow rate:,66.67,L/m
16:11:15.609 -> Flow rate: 66.67 L/m,,,,11:15.6,->,Flow rate:,66.67,L/m
16:11:15.703 -> Flow rate: 66.67 L/m,,,,11:15.7,->,Flow rate:,66.67,L/m
16:11:15.782 -> Flow rate: 58.33 L/m,,,,11:15.8,->,Flow rate:,58.33,L/m
16:11:15.877 -> Flow rate: 66.67 L/m,,,,11:15.9,->,Flow rate:,66.67,L/m
16:11:15.972 -> Flow rate: 66.67 L/m,,,,11:16.0,->,Flow rate:,66.67,L/m
16:11:16.067 -> Flow rate: 66.67 L/m,,,,11:16.1,->,Flow rate:,66.67,L/m
16:11:16.208 -> Flow rate: 66.67 L/m,,,,11:16.2,->,Flow rate:,66.67,L/m
16:11:16.303 -> Flow rate: 66.67 L/m,,,,11:16.3,->,Flow rate:,66.67,L/m
16:11:16.382 -> Flow rate: 66.67 L/m,,,,11:16.4,->,Flow rate:,66.67,L/m
16:11:16.477 -> Flow rate: 58.33 L/m,,,,11:16.5,->,Flow rate:,58.33,L/m
16:11:16.572 -> Flow rate: 66.67 L/m,,,,11:16.6,->,Flow rate:,66.67,L/m
16:11:16.667 -> Flow rate: 66.67 L/m,,,,11:16.7,->,Flow rate:,66.67,L/m
16:11:16.763 -> Flow rate: 66.67 L/m,,,,11:16.8,->,Flow rate:,66.67,L/m
16:11:16.905 -> Flow rate: 66.67 L/m,,,,11:16.9,->,Flow rate:,66.67,L/m
16:11:17.000 -> Flow rate: 66.67 L/m,,,,11:17.0,->,Flow rate:,66.67,L/m
16:11:17.080 -> Flow rate: 66.67 L/m,,,,11:17.1,->,Flow rate:,66.67,L/m
16:11:17.159 -> Flow rate: 66.67 L/m,,,,11:17.2,->,Flow rate:,66.67,L/m
16:11:17.302 -> Flow rate: 66.67 L/m,,,,11:17.3,->,Flow rate:,66.67,L/m
16:11:17.396 -> Flow rate: 66.67 L/m,,,,11:17.4,->,Flow rate:,66.67,L/m
16:11:17.491 -> Flow rate: 66.67 L/m,,,,11:17.5,->,Flow rate:,66.67,L/m
16:11:17.585 -> Flow rate: 66.67 L/m,,,,11:17.6,->,Flow rate:,66.67,L/m
16:11:17.665 -> Flow rate: 66.67 L/m,,,,11:17.7,->,Flow rate:,66.67,L/m
16:11:17.809 -> Flow rate: 66.67 L/m,,,,11:17.8,->,Flow rate:,66.67,L/m
16:11:17.903 -> Flow rate: 66.67 L/m,,,,11:17.9,->,Flow rate:,66.67,L/m
16:11:17.983 -> Flow rate: 58.33 L/m,,,,11:18.0,->,Flow rate:,58.33,L/m
16:11:18.077 -> Flow rate: 66.67 L/m,,,,11:18.1,->,Flow rate:,66.67,L/m
16:11:18.172 -> Flow rate: 66.67 L/m,,,,11:18.2,->,Flow rate:,66.67,L/m
16:11:18.268 -> Flow rate: 66.67 L/m,,,,11:18.3,->,Flow rate:,66.67,L/m
16:11:18.364 -> Flow rate: 66.67 L/m,,,,11:18.4,->,Flow rate:,66.67,L/m
16:11:18.506 -> Flow rate: 58.33 L/m,,,,11:18.5,->,Flow rate:,58.33,L/m
16:11:18.600 -> Flow rate: 66.67 L/m,,,,11:18.6,->,Flow rate:,66.67,L/m
16:11:18.696 -> Flow rate: 58.33 L/m,,,,11:18.7,->,Flow rate:,58.33,L/m
16:11:18.791 -> Flow rate: 66.67 L/m,,,,11:18.8,->,Flow rate:,66.67,L/m
16:11:18.886 -> Flow rate: 58.33 L/m,,,,11:18.9,->,Flow rate:,58.33,L/m
16:11:18.965 -> Flow rate: 58.33 L/m,,,,11:19.0,->,Flow rate:,58.33,L/m
16:11:19.108 -> Flow rate: 66.67 L/m,,,,11:19.1,->,Flow rate:,66.67,L/m
16:11:19.203 -> Flow rate: 66.67 L/m,,,,11:19.2,->,Flow rate:,66.67,L/m
16:11:19.298 -> Flow rate: 66.67 L/m,,,,11:19.3,->,Flow rate:,66.67,L/m
16:11:19.394 -> Flow rate: 58.33 L/m,,,,11:19.4,->,Flow rate:,58.33,L/m
16:11:19.488 -> Flow rate: 66.67 L/m,,,,11:19.5,->,Flow rate:,66.67,L/m
16:11:19.582 -> Flow rate: 66.67 L/m,,,,11:19.6,->,Flow rate:,66.67,L/m
16:11:19.676 -> Flow rate: 66.67 L/m,,,,11:19.7,->,Flow rate:,66.67,L/m
16:11:19.771 -> Flow rate: 66.67 L/m,,,,11:19.8,->,Flow rate:,66.67,L/m
16:11:19.865 -> Flow rate: 58.33 L/m,,,,11:19.9,->,Flow rate:,58.33,L/m
16:11:20.007 -> Flow rate: 66.67 L/m,,,,11:20.0,->,Flow rate:,66.67,L/m
16:11:20.103 -> Flow rate: 66.67 L/m,,,,11:20.1,->,Flow rate:,66.67,L/m
16:11:20.197 -> Flow rate: 66.67 L/m,,,,11:20.2,->,Flow rate:,66.67,L/m
16:11:20.291 -> Flow rate: 66.67 L/m,,,,11:20.3,->,Flow rate:,66.67,L/m
16:11:20.387 -> Flow rate: 58.33 L/m,,,,11:20.4,->,Flow rate:,58.33,L/m
16:11:20.482 -> Flow rate: 66.67 L/m,,,,11:20.5,->,Flow rate:,66.67,L/m
16:11:20.576 -> Flow rate: 66.67 L/m,,,,11:20.6,->,Flow rate:,66.67,L/m
16:11:20.670 -> Flow rate: 66.67 L/m,,,,11:20.7,->,Flow rate:,66.67,L/m
16:11:20.766 -> Flow rate: 66.67 L/m,,,,11:20.8,->,Flow rate:,66.67,L/m
16:11:20.908 -> Flow rate: 66.67 L/m,,,,11:20.9,->,Flow rate:,66.67,L/m
16:11:21.003 -> Flow rate: 66.67 L/m,,,,11:21.0,->,Flow rate:,66.67,L/m
16:11:21.097 -> Flow rate: 66.67 L/m,,,,11:21.1,->,Flow rate:,66.67,L/m
16:11:21.192 -> Flow rate: 58.33 L/m,,,,11:21.2,->,Flow rate:,58.33,L/m
16:11:21.286 -> Flow rate: 66.67 L/m,,,,11:21.3,->,Flow rate:,66.67,L/m
16:11:21.381 -> Flow rate: 66.67 L/m,,,,11:21.4,->,Flow rate:,66.67,L/m
16:11:21.475 -> Flow rate: 66.67 L/m,,,,11:21.5,->,Flow rate:,66.67,L/m
16:11:21.570 -> Flow rate: 66.67 L/m,,,,11:21.6,->,Flow rate:,66.67,L/m
16:11:21.712 -> Flow rate: 66.67 L/m,,,,11:21.7,->,Flow rate:,66.67,L/m
16:11:21.808 -> Flow rate: 66.67 L/m,,,,11:21.8,->,Flow rate:,66.67,L/m
16:11:21.903 -> Flow rate: 66.67 L/m,,,,11:21.9,->,Flow rate:,66.67,L/m
16:11:21.999 -> Flow rate: 66.67 L/m,,,,11:22.0,->,Flow rate:,66.67,L/m
16:11:22.094 -> Flow rate: 66.67 L/m,,,,11:22.1,->,Flow rate:,66.67,L/m
16:11:22.192 -> Flow rate: 66.67 L/m,,,,11:22.2,->,Flow rate:,66.67,L/m
16:11:22.285 -> Flow rate: 66.67 L/m,,,,11:22.3,->,Flow rate:,66.67,L/m
16:11:22.381 -> Flow rate: 58.33 L/m,,,,11:22.4,->,Flow rate:,58.33,L/m
16:11:22.475 -> Flow rate: 66.67 L/m,,,,11:22.5,->,Flow rate:,66.67,L/m
16:11:22.570 -> Flow rate: 58.33 L/m,,,,11:22.6,->,Flow rate:,58.33,L/m
16:11:22.666 -> Flow rate: 66.67 L/m,,,,11:22.7,->,Flow rate:,66.67,L/m
16:11:22.809 -> Flow rate: 58.33 L/m,,,,11:22.8,->,Flow rate:,58.33,L/m
16:11:22.904 -> Flow rate: 58.33 L/m,,,,11:22.9,->,Flow rate:,58.33,L/m
16:11:22.998 -> Flow rate: 58.33 L/m,,,,11:23.0,->,Flow rate:,58.33,L/m
16:11:23.092 -> Flow rate: 58.33 L/m,,,,11:23.1,->,Flow rate:,58.33,L/m
16:11:23.186 -> Flow rate: 66.67 L/m,,,,11:23.2,->,Flow rate:,66.67,L/m
16:11:23.280 -> Flow rate: 58.33 L/m,,,,11:23.3,->,Flow rate:,58.33,L/m
16:11:23.374 -> Flow rate: 58.33 L/m,,,,11:23.4,->,Flow rate:,58.33,L/m
16:11:23.469 -> Flow rate: 58.33 L/m,,,,11:23.5,->,Flow rate:,58.33,L/m
16:11:23.612 -> Flow rate: 66.67 L/m,,,,11:23.6,->,Flow rate:,66.67,L/m
16:11:23.707 -> Flow rate: 66.67 L/m,,,,11:23.7,->,Flow rate:,66.67,L/m
16:11:23.802 -> Flow rate: 58.33 L/m,,,,11:23.8,->,Flow rate:,58.33,L/m
16:11:23.898 -> Flow rate: 66.67 L/m,,,,11:23.9,->,Flow rate:,66.67,L/m
16:11:23.993 -> Flow rate: 66.67 L/m,,,,11:24.0,->,Flow rate:,66.67,L/m
16:11:24.087 -> Flow rate: 58.33 L/m,,,,11:24.1,->,Flow rate:,58.33,L/m
16:11:24.181 -> Flow rate: 66.67 L/m,,,,11:24.2,->,Flow rate:,66.67,L/m
16:11:24.274 -> Flow rate: 66.67 L/m,,,,11:24.3,->,Flow rate:,66.67,L/m
16:11:24.368 -> Flow rate: 66.67 L/m,,,,11:24.4,->,Flow rate:,66.67,L/m
16:11:24.509 -> Flow rate: 66.67 L/m,,,,11:24.5,->,Flow rate:,66.67,L/m
16:11:24.603 -> Flow rate: 66.67 L/m,,,,11:24.6,->,Flow rate:,66.67,L/m
16:11:24.698 -> Flow rate: 66.67 L/m,,,,11:24.7,->,Flow rate:,66.67,L/m
16:11:24.793 -> Flow rate: 66.67 L/m,,,,11:24.8,->,Flow rate:,66.67,L/m
16:11:24.887 -> Flow rate: 66.67 L/m,,,,11:24.9,->,Flow rate:,66.67,L/m
16:11:24.982 -> Flow rate: 66.67 L/m,,,,11:25.0,->,Flow rate:,66.67,L/m
16:11:25.078 -> Flow rate: 66.67 L/m,,,,11:25.1,->,Flow rate:,66.67,L/m
16:11:25.173 -> Flow rate: 66.67 L/m,,,,11:25.2,->,Flow rate:,66.67,L/m
16:11:25.269 -> Flow rate: 66.67 L/m,,,,11:25.3,->,Flow rate:,66.67,L/m
16:11:25.364 -> Flow rate: 66.67 L/m,,,,11:25.4,->,Flow rate:,66.67,L/m
16:11:25.507 -> Flow rate: 58.33 L/m,,,,11:25.5,->,Flow rate:,58.33,L/m
16:11:25.602 -> Flow rate: 66.67 L/m,,,,11:25.6,->,Flow rate:,66.67,L/m
16:11:25.681 -> Flow rate: 66.67 L/m,,,,11:25.7,->,Flow rate:,66.67,L/m
16:11:25.776 -> Flow rate: 66.67 L/m,,,,11:25.8,->,Flow rate:,66.67,L/m
16:11:25.871 -> Flow rate: 66.67 L/m,,,,11:25.9,->,Flow rate:,66.67,L/m
16:11:25.967 -> Flow rate: 66.67 L/m,,,,11:26.0,->,Flow rate:,66.67,L/m
16:11:26.108 -> Flow rate: 66.67 L/m,,,,11:26.1,->,Flow rate:,66.67,L/m
16:11:26.203 -> Flow rate: 66.67 L/m,,,,11:26.2,->,Flow rate:,66.67,L/m
16:11:26.299 -> Flow rate: 66.67 L/m,,,,11:26.3,->,Flow rate:,66.67,L/m
16:11:26.394 -> Flow rate: 66.67 L/m,,,,11:26.4,->,Flow rate:,66.67,L/m
16:11:26.475 -> Flow rate: 66.67 L/m,,,,11:26.5,->,Flow rate:,66.67,L/m
16:11:26.572 -> Flow rate: 66.67 L/m,,,,11:26.6,->,Flow rate:,66.67,L/m
16:11:26.699 -> Flow rate: 58.33 L/m,,,,11:26.7,->,Flow rate:,58.33,L/m
16:11:26.794 -> Flow rate: 66.67 L/m,,,,11:26.8,->,Flow rate:,66.67,L/m
